Date,Close_Stock(BRL)
2020-01-02,547.5726
2020-01-03,541.106315508
2020-01-06,542.0611189324
2020-01-07,545.6623309132
2020-01-08,547.5804039999999
2020-01-09,555.7841500508
2020-01-10,562.2169370856
2020-01-13,558.4917610253999
2020-01-14,570.3274707714
2020-01-15,565.1727
2020-01-16,569.6643533051999
2020-01-17,586.6083113428999
2020-01-20,579.5062404468
2020-01-21,586.2368460641
2020-01-22,590.6776106686
2020-01-23,574.2832134508
2020-01-24,584.5521692128
2020-01-27,564.0874933937
2020-01-28,555.1707654696
2020-01-29,554.316
2020-01-30,550.151536
2020-01-31,551.055922
2020-02-03,569.616
2020-02-04,577.3788160846999
2020-02-05,585.1340506078001
2020-02-06,579.1377646906001
2020-02-07,582.9650733965999
2020-02-10,584.2935189
2020-02-11,590.9971887144001
2020-02-12,599.3766840000001
2020-02-13,600.0429741966
2020-02-14,599.1726732873
2020-02-17,592.5628893024
2020-02-18,596.596056
2020-02-19,608.238569398
2020-02-20,602.6281341462
2020-02-21,597.5063949444001
2020-02-24,576.7022984866001
2020-02-25,567.4268832429001
2020-02-26,566.5208375405999
2020-02-27,559.2598208404
2020-02-28,550.0800381383999
2020-03-02,547.0968
2020-03-03,562.7348539652
2020-03-04,562.17185
2020-03-05,562.609829793
2020-03-06,555.5880804981
2020-03-09,516.2986124366
2020-03-10,541.5709535208
2020-03-11,528.6015307476
2020-03-12,492.5962008382001
2020-03-13,496.2849072892001
2020-03-16,484.1026187866
2020-03-17,515.0086015761
2020-03-18,491.203236
2020-03-19,490.2284922171
2020-03-20,495.313660855
2020-03-23,498.6524605881
2020-03-24,549.398512
2020-03-25,544.9455
2020-03-26,569.5032705219
2020-03-27,553.879036638
2020-03-30,580.270002
2020-03-31,588.5402971753
2020-04-01,562.6917785282
2020-04-02,558.5669212344
2020-04-03,554.6321436054001
2020-04-06,585.9500515572
2020-04-07,591.618816
2020-04-08,597.1245
2020-04-09,611.875
2020-04-14,620.4352
2020-04-15,613.8660770046
2020-04-16,628.4838185834001
2020-04-17,642.18078864
2020-04-20,642.2556467066
2020-04-21,613.554434227
2020-04-22,624.3174844642
2020-04-23,637.3349816841001
2020-04-24,635.65278
2020-04-27,651.8127181395
2020-04-28,665.8069075308
2020-04-29,653.6064778581
2020-04-30,631.9391636016001
2020-05-04,641.9747019805
2020-05-05,654.8583280778
2020-05-06,636.3910981308
2020-05-07,662.1482333252001
2020-05-08,680.485827368
2020-05-11,662.3197057892
2020-05-12,671.7219662859999
2020-05-13,676.3753999999999
2020-05-14,661.3962427314001
2020-05-15,651.0411054486
2020-05-18,679.3418783277
2020-05-19,674.4516364806
2020-05-20,692.6951411425999
2020-05-21,666.9585517539
2020-05-22,646.471241769
2020-05-25,672.8587079416001
2020-05-26,657.9782417864
2020-05-27,655.8968405416
2020-05-28,653.7443283882001
2020-05-29,679.1613
2020-06-02,691.9183379358001
2020-06-03,691.9438138127001
2020-06-04,679.8542286312
2020-06-05,702.6119942
2020-06-08,672.3904655929999
2020-06-09,657.416368
2020-06-10,668.432534451
2020-06-11,657.3374990554
2020-06-12,647.294216842
2020-06-15,649.8049616821
2020-06-16,694.02762
2020-06-17,709.9811161906
2020-06-18,707.2657317485999
2020-06-19,743.8311900717
2020-06-22,735.8602501998
2020-06-23,743.1608
2020-06-24,699.642538349
2020-06-25,726.3583380387
2020-06-26,734.063338033
2020-06-29,753.0672323010001
2020-06-30,755.094816
2020-07-01,759.6829301334
2020-07-02,763.2408659148
2020-07-03,767.9295480384
2020-07-06,780.9605019743
2020-07-07,779.7500159451
2020-07-08,780.5870859386
2020-07-09,815.4200176185
2020-07-10,813.3998938362
2020-07-13,825.7801200192
2020-07-14,820.6102102533999
2020-07-15,840.589445518
2020-07-16,830.0041008910999
2020-07-17,824.5460335962
