Date;Activity;Purchase/Sell price;Quantity
2020-12-08;Purchase;€ 101,26;0,570108
2020-11-09;Purchase;€ 100,87;0,519668
2020-10-09;Purchase;€ 132,58;0,403157
2020-09-09;Purchase;€ 135,40;0,404355
2020-08-07;Purchase;€ 136,78;0,423243
2020-07-09;Purchase;€ 138,35;0,419152
2020-06-05;Purchase;€ 115,61;0,030619
2020-05-07;Purchase;€ 107,61;0,562425
2020-04-09;Purchase;€ 107,61;0,577845
2020-03-06;Purchase;€ 107,18;0,671676
2020-02-07;Purchase;€ 124,23;0,605015
2020-01-09;Purchase;€ 122,93;0,627675
